STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop18,Classification of individual consumption by purpose (COICOP) - 2018,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2016-12,,2.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-01,,4.0,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-02,,3.7,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-03,,3.8,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-04,,3.6,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-05,,3.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-06,,3.7,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-07,,3.0,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-08,,2.6,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2017-09,,2.7,,,,,
