STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-02,,2.5,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-03,,0.3,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-04,,-2.7,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-05,,6.7,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-06,,-0.5,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-07,,-0.8,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-08,,1.1,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-09,,0.0,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-10,,-0.3,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2005-11,,5.0,,,,,
